SetPoint,Timestamp,Chamber temperature,Reference temperature,DUT temperature
NaN,"19.01.2021 15:30:07",20.49,20.49,20.125
NaN,"19.01.2021 15:30:11",20.51,20.49,20.125
NaN,"19.01.2021 15:30:15",20.528,20.5,20.125
20,"19.01.2021 15:30:19",20.549,20.5,20.125
20,"19.01.2021 15:30:23",20.568,20.51,20.125
20,"19.01.2021 15:30:27",20.569,20.51,20.1875
20,"19.01.2021 15:30:31",20.456,20.51,20.1875
20,"19.01.2021 15:30:34",20.336,20.5,20.1875
20,"19.01.2021 15:30:38",20.215,20.5,20.125
20,"19.01.2021 15:30:42",20.184,20.48,20.125
20,"19.01.2021 15:30:46",20.129,20.46,20.125
20,"19.01.2021 15:30:50",20.074,20.44,20.125
20,"19.01.2021 15:30:54",20.034,20.43,20.125
20,"19.01.2021 15:30:58",20.001,20.42,20.125
20,"19.01.2021 15:31:01",19.985,20.42,20.125
20,"19.01.2021 15:31:05",19.983,20.41,20.0625
20,"19.01.2021 15:31:09",19.987,20.41,20.0625
20,"19.01.2021 15:31:13",19.996,20.41,20.0625
20,"19.01.2021 15:31:17",20.004,20.41,20.0625
20,"19.01.2021 15:31:21",20.01,20.41,20.0625
20,"19.01.2021 15:31:25",20.015,20.4,20.0625
20,"19.01.2021 15:31:28",20.018,20.4,20.0625
20,"19.01.2021 15:31:32",20.019,20.4,20.0625
20,"19.01.2021 15:31:36",20.019,20.4,20.0625
20,"19.01.2021 15:31:40",20.017,20.4,20.0625
20,"19.01.2021 15:31:44",20.015,20.39,20.0625
20,"19.01.2021 15:31:48",20.012,20.39,20.0625
20,"19.01.2021 15:31:52",20.009,20.39,20.0625
20,"19.01.2021 15:31:55",20.006,20.38,20
20,"19.01.2021 15:31:59",20.004,20.38,20
20,"19.01.2021 15:32:03",20.002,20.38,20.0625
20,"19.01.2021 15:32:07",20.001,20.37,20
20,"19.01.2021 15:32:11",20.001,20.37,20
20,"19.01.2021 15:32:15",20,20.37,20
20,"19.01.2021 15:32:19",20.001,20.37,20
20,"19.01.2021 15:32:22",20.001,20.36,20
20,"19.01.2021 15:32:26",20.001,20.36,20
20,"19.01.2021 15:32:30",20.002,20.36,20
20,"19.01.2021 15:32:34",20.002,20.36,20
20,"19.01.2021 15:32:38",20.002,20.35,20
20,"19.01.2021 15:32:42",20.002,20.35,20
20,"19.01.2021 15:32:45",20.002,20.35,20
20,"19.01.2021 15:32:49",20.002,20.35,20
20,"19.01.2021 15:32:53",20.002,20.34,20
20,"19.01.2021 15:32:57",20.002,20.34,20
20,"19.01.2021 15:33:01",20.001,20.34,20
20,"19.01.2021 15:33:05",20.001,20.34,20
20,"19.01.2021 15:33:09",20,20.34,20
20,"19.01.2021 15:33:12",20,20.33,20
20,"19.01.2021 15:33:16",20,20.33,20
20,"19.01.2021 15:33:20",20,20.33,20
20,"19.01.2021 15:33:24",20,20.33,19.9375
20,"19.01.2021 15:33:28",20.001,20.33,20
20,"19.01.2021 15:33:32",20,20.32,20
20,"19.01.2021 15:33:35",20,20.32,19.9375
20,"19.01.2021 15:33:39",20,20.32,19.9375
20,"19.01.2021 15:33:43",20.001,20.32,19.9375
20,"19.01.2021 15:33:47",20.001,20.32,19.9375
20,"19.01.2021 15:33:51",20.001,20.3,19.9375
20,"19.01.2021 15:33:55",20,20.3,19.9375
20,"19.01.2021 15:33:58",20,20.3,19.9375
20,"19.01.2021 15:34:02",20,20.3,19.9375
20,"19.01.2021 15:34:06",20,20.3,19.9375
20,"19.01.2021 15:34:10",20,20.29,19.9375
20,"19.01.2021 15:34:14",20,20.29,19.9375
20,"19.01.2021 15:34:18",20,20.29,19.9375
20,"19.01.2021 15:34:22",20,20.29,19.9375
20,"19.01.2021 15:34:25",20,20.29,19.9375
20,"19.01.2021 15:34:29",20,20.29,19.9375
20,"19.01.2021 15:34:33",20,20.29,19.9375
20,"19.01.2021 15:34:37",20,20.29,19.9375
20,"19.01.2021 15:34:41",20,20.28,19.9375
20,"19.01.2021 15:34:45",20,20.28,19.9375
20,"19.01.2021 15:34:49",20,20.28,19.9375
20,"19.01.2021 15:34:52",20,20.28,19.9375
20,"19.01.2021 15:34:56",20,20.28,19.9375
20,"19.01.2021 15:35:00",20,20.28,19.9375
20,"19.01.2021 15:35:04",20,20.28,19.9375
20,"19.01.2021 15:35:08",20,20.28,19.9375
20,"19.01.2021 15:35:12",20,20.27,19.9375
20,"19.01.2021 15:35:16",20,20.27,19.9375
20,"19.01.2021 15:35:19",20,20.27,19.9375
20,"19.01.2021 15:35:23",20,20.27,19.9375
20,"19.01.2021 15:35:27",20,20.27,19.9375
20,"19.01.2021 15:35:31",20,20.27,19.9375
20,"19.01.2021 15:35:35",20,20.27,19.9375
20,"19.01.2021 15:35:39",20,20.27,19.9375
20,"19.01.2021 15:35:42",20,20.27,19.9375
20,"19.01.2021 15:35:46",20,20.26,19.9375
20,"19.01.2021 15:35:50",20,20.26,19.9375
20,"19.01.2021 15:35:54",20,20.26,19.9375
20,"19.01.2021 15:35:58",20,20.26,19.9375
20,"19.01.2021 15:36:02",20,20.26,19.875
20,"19.01.2021 15:36:06",20,20.26,19.9375
20,"19.01.2021 15:36:09",20,20.26,19.875
20,"19.01.2021 15:36:13",20,20.26,19.875
20,"19.01.2021 15:36:17",20,20.26,19.875
20,"19.01.2021 15:36:21",20,20.26,19.875
20,"19.01.2021 15:36:25",20,20.26,19.9375
20,"19.01.2021 15:36:29",20,20.25,19.875
20,"19.01.2021 15:36:32",20,20.25,19.875
20,"19.01.2021 15:36:36",20,20.25,19.875
20,"19.01.2021 15:36:40",20,20.25,19.875
30,"19.01.2021 15:36:44",20,20.25,19.875
30,"19.01.2021 15:36:48",20.012,20.25,19.875
30,"19.01.2021 15:36:52",20.235,20.26,19.875
30,"19.01.2021 15:36:56",20.68,20.29,19.9375
30,"19.01.2021 15:36:59",21.466,20.37,19.9375
30,"19.01.2021 15:37:03",22.233,20.5,20
