Spec:;
FinishDate:;17.01.2021 22:15:10

;SetPoint;Timestamp;ReferenceValue;DUT value
SET;0,0000;;-0,0906;-0,0625
IPP;;17.01.2021 19:00:31;-0,0900;-0,0625
IPP;;17.01.2021 19:00:35;-0,0900;-0,0625
IPP;;17.01.2021 19:00:35;-0,0900;-0,0625
IPP;;17.01.2021 19:00:39;-0,0900;-0,0625
IPP;;17.01.2021 19:00:43;-0,0900;-0,0625
IPP;;17.01.2021 19:00:43;-0,0900;-0,0625
IPP;;17.01.2021 19:00:47;-0,0900;-0,0625
IPP;;17.01.2021 19:00:47;-0,0900;-0,0625
IPP;;17.01.2021 19:00:51;-0,0900;-0,0625
IPP;;17.01.2021 19:00:51;-0,0900;-0,0625
IPP;;17.01.2021 19:00:55;-0,0900;-0,0625
IPP;;17.01.2021 19:00:55;-0,0900;-0,0625
IPP;;17.01.2021 19:00:58;-0,0900;-0,0625
IPP;;17.01.2021 19:00:58;-0,0900;-0,0625
IPP;;17.01.2021 19:01:02;-0,0900;-0,0625
IPP;;17.01.2021 19:01:02;-0,0900;-0,0625
IPP;;17.01.2021 19:01:06;-0,1000;-0,0625
SET;15,0000;;15,1012;14,8125
IPP;;17.01.2021 19:31:38;15,1000;14,8125
IPP;;17.01.2021 19:31:38;15,1000;14,8125
IPP;;17.01.2021 19:31:41;15,1000;14,8125
IPP;;17.01.2021 19:31:45;15,1000;14,8125
IPP;;17.01.2021 19:31:45;15,1000;14,8125
IPP;;17.01.2021 19:31:49;15,1000;14,8125
IPP;;17.01.2021 19:31:49;15,1000;14,8125
IPP;;17.01.2021 19:31:53;15,1000;14,8125
IPP;;17.01.2021 19:31:53;15,1000;14,8125
IPP;;17.01.2021 19:31:57;15,1000;14,8125
IPP;;17.01.2021 19:31:57;15,1000;14,8125
IPP;;17.01.2021 19:32:01;15,1000;14,8125
IPP;;17.01.2021 19:32:01;15,1000;14,8125
IPP;;17.01.2021 19:32:05;15,1000;14,8125
IPP;;17.01.2021 19:32:05;15,1000;14,8125
IPP;;17.01.2021 19:32:08;15,1100;14,8125
IPP;;17.01.2021 19:32:08;15,1100;14,8125
SET;30,0000;;30,3000;29,7574
IPP;;17.01.2021 20:00:02;30,3000;29,7500
IPP;;17.01.2021 20:00:02;30,3000;29,7500
IPP;;17.01.2021 20:00:06;30,3000;29,7500
IPP;;17.01.2021 20:00:06;30,3000;29,7500
IPP;;17.01.2021 20:00:09;30,3000;29,7500
IPP;;17.01.2021 20:00:13;30,3000;29,7500
IPP;;17.01.2021 20:00:13;30,3000;29,7500
IPP;;17.01.2021 20:00:17;30,3000;29,7500
IPP;;17.01.2021 20:00:17;30,3000;29,7500
IPP;;17.01.2021 20:00:21;30,3000;29,7500
IPP;;17.01.2021 20:00:21;30,3000;29,8125
IPP;;17.01.2021 20:00:25;30,3000;29,8125
IPP;;17.01.2021 20:00:25;30,3000;29,7500
IPP;;17.01.2021 20:00:29;30,3000;29,7500
IPP;;17.01.2021 20:00:29;30,3000;29,7500
IPP;;17.01.2021 20:00:32;30,3000;29,7500
IPP;;17.01.2021 20:00:32;30,3000;29,7500
SET;45,0000;;45,1700;44,7500
IPP;;17.01.2021 20:27:10;45,1700;44,7500
IPP;;17.01.2021 20:27:10;45,1700;44,7500
IPP;;17.01.2021 20:27:13;45,1700;44,7500
IPP;;17.01.2021 20:27:13;45,1700;44,7500
IPP;;17.01.2021 20:27:17;45,1700;44,7500
IPP;;17.01.2021 20:27:17;45,1700;44,7500
IPP;;17.01.2021 20:27:21;45,1700;44,7500
IPP;;17.01.2021 20:27:25;45,1700;44,7500
IPP;;17.01.2021 20:27:25;45,1700;44,7500
