SetPoint;Chamber;Ref;DUT
17.01.2021 18:37:00;0;0,003;4,27999999999997;5,4375
17.01.2021 18:37:04;0;0,003;4,19;5,375
17.01.2021 18:37:08;0;0,003;4,12;5,25
17.01.2021 18:37:12;0;0,003;4,02999999999997;5,1875
17.01.2021 18:37:15;0;0,003;3,94999999999999;5,0625
17.01.2021 18:37:19;0;0,002;3,87;5
17.01.2021 18:37:23;0;0,001;3,80000000000001;4,9375
17.01.2021 18:37:27;0;0,001;3,72000000000003;4,8125
17.01.2021 18:37:31;0;0;3,63999999999999;4,75
17.01.2021 18:37:35;0;0;3,57999999999998;4,6875
17.01.2021 18:37:39;0;-0,001;3,51999999999998;4,625
17.01.2021 18:37:42;0;-0,001;3,43000000000001;4,5
17.01.2021 18:37:46;0;-0,001;3,36000000000001;4,4375
17.01.2021 18:37:50;0;-0,001;3,30000000000001;4,375
17.01.2021 18:37:54;0;-0,001;3,24000000000001;4,3125
17.01.2021 18:37:58;0;-0,002;3,17000000000002;4,25
17.01.2021 18:38:02;0;-0,001;3,12;4,1875
17.01.2021 18:38:05;0;-0,002;3,06;4,0625
17.01.2021 18:38:09;0;-0,001;2,99000000000001;4
17.01.2021 18:38:13;0;-0,002;2,93000000000001;3,9375
17.01.2021 18:38:17;0;-0,001;2,88999999999999;3,875
17.01.2021 18:38:21;0;-0,001;2,82999999999998;3,8125
17.01.2021 18:38:25;0;-0,001;2,75999999999999;3,75
17.01.2021 18:38:29;0;-0,001;2,69999999999999;3,6875
17.01.2021 18:38:32;0;-0,001;2,64999999999998;3,625
17.01.2021 18:38:36;0;-0,001;2,60000000000002;3,5625
17.01.2021 18:38:40;0;-0,002;2,55000000000001;3,5
17.01.2021 18:38:44;0;-0,002;2,50999999999999;3,4375
17.01.2021 18:38:48;0;-0,002;2,45999999999998;3,375
17.01.2021 18:38:52;0;-0,002;2,41000000000003;3,3125
17.01.2021 18:38:56;0;-0,002;2,36000000000001;3,25
17.01.2021 18:38:59;0;-0,002;2,31999999999999;3,1875
17.01.2021 18:39:03;0;-0,002;2,26999999999998;3,1875
17.01.2021 18:39:07;0;-0,002;2,22000000000003;3,125
17.01.2021 18:39:11;0;-0,002;2,18000000000001;3,0625
17.01.2021 18:39:15;0;-0,002;2,13;3
17.01.2021 18:39:19;0;-0,002;2,10000000000002;2,9375
17.01.2021 18:39:22;0;-0,002;2,06;2,875
17.01.2021 18:39:26;0;-0,002;2,01999999999998;2,875
17.01.2021 18:39:30;0;-0,002;1,98000000000002;2,8125
17.01.2021 18:39:34;0;-0,002;1,94;2,75
17.01.2021 18:39:38;0;-0,001;1,89999999999998;2,6875
17.01.2021 18:39:42;0;-0,002;1,86000000000001;2,6875
17.01.2021 18:39:45;0;-0,001;1,81999999999999;2,625
17.01.2021 18:39:49;0;-0,002;1,79000000000002;2,5625
17.01.2021 18:39:53;0;-0,002;1,75999999999999;2,5625
17.01.2021 18:39:57;0;-0,002;1,72000000000003;2,5
17.01.2021 18:40:01;0;-0,002;1,68000000000001;2,4375
