SetPoint [°C],Timestamp,Reference temperature [°C],DUT temperature [°C],Delta (error) [K]
0,02.02.2021 15:47:55,0.100000000000023,0.141494367959972,0.0414943679599493
20,02.02.2021 16:10:25,20.2264705882353,20.2527387004615,0.0262681122262016
25,02.02.2021 16:28:32,25.25,25.2902640099626,0.040264009962641
55,02.02.2021 16:52:56,55.0047058823529,54.9962950172669,-0.00841086508603439
75,02.02.2021 17:16:30,74.99,74.9854411764706,-0.00455882352939341
95,02.02.2021 17:38:02,95.04,95.0395191455288,-0.000480854471149428
