SetPoint [°C],Timestamp,Chamber temperature [°C],Reference temperature [°C],DUT temperature [°C]
20,"02.02.2021 09:49:09",20,20.33,19.8125
20,"02.02.2021 09:49:12",20,20.32,19.8125
20,"02.02.2021 09:49:16",20,20.32,19.8125
20,"02.02.2021 09:49:20",20,20.32,19.8125
20,"02.02.2021 09:49:24",20,20.32,19.8125
20,"02.02.2021 09:49:28",20,20.3,19.8125
20,"02.02.2021 09:49:32",20,20.3,19.8125
20,"02.02.2021 09:49:36",20,20.3,19.8125
20,"02.02.2021 09:49:40",20,20.3,19.8125
20,"02.02.2021 09:49:44",20,20.29,19.8125
20,"02.02.2021 09:49:48",20,20.29,19.875
20,"02.02.2021 09:49:52",20,20.29,19.8125
20,"02.02.2021 09:49:56",20,20.29,19.8125
20,"02.02.2021 09:50:00",20,20.28,19.8125
20,"02.02.2021 09:50:03",20,20.28,19.875
20,"02.02.2021 09:50:07",20,20.28,19.8125
20,"02.02.2021 09:50:11",20,20.28,19.8125
20,"02.02.2021 09:50:15",20,20.28,19.8125
20,"02.02.2021 09:50:19",20,20.28,19.8125
20,"02.02.2021 09:50:23",20,20.27,19.8125
20,"02.02.2021 09:50:27",20,20.27,19.8125
20,"02.02.2021 09:50:31",20,20.27,19.8125
20,"02.02.2021 09:50:35",20,20.27,19.8125
20,"02.02.2021 09:50:39",20,20.27,19.8125
20,"02.02.2021 09:50:43",20,20.27,19.8125
20,"02.02.2021 09:50:47",20,20.26,19.8125
20,"02.02.2021 09:50:51",20,20.26,19.8125
20,"02.02.2021 09:50:55",20,20.26,19.8125
20,"02.02.2021 09:50:58",20,20.26,19.8125
20,"02.02.2021 09:51:02",20,20.26,19.8125
20,"02.02.2021 09:51:06",20,20.26,19.8125
20,"02.02.2021 09:51:10",20,20.26,19.8125
20,"02.02.2021 09:51:14",20,20.25,19.8125
20,"02.02.2021 09:51:18",20,20.25,19.8125
20,"02.02.2021 09:51:22",20,20.25,19.8125
20,"02.02.2021 09:51:26",20,20.25,19.8125
20,"02.02.2021 09:51:30",20,20.25,19.8125
20,"02.02.2021 09:51:34",20,20.25,19.8125
20,"02.02.2021 09:51:38",20,20.25,19.8125
20,"02.02.2021 09:51:42",20,20.24,19.8125
20,"02.02.2021 09:51:46",20,20.24,19.8125
20,"02.02.2021 09:51:49",20,20.24,19.8125
20,"02.02.2021 09:51:53",20,20.24,19.8125
20,"02.02.2021 09:51:57",20,20.24,19.8125
20,"02.02.2021 09:52:01",20,20.24,19.8125
20,"02.02.2021 09:52:05",20,20.24,19.8125
20,"02.02.2021 09:52:09",20,20.24,19.8125
20,"02.02.2021 09:52:13",20,20.24,19.8125
20,"02.02.2021 09:52:17",20,20.24,19.8125
20,"02.02.2021 09:52:21",20,20.24,19.8125
20,"02.02.2021 09:52:25",20,20.23,19.8125
20,"02.02.2021 09:52:29",20,20.23,19.8125
20,"02.02.2021 09:52:33",20,20.23,19.8125
20,"02.02.2021 09:52:37",20,20.23,19.8125
