SetPoint;Chamber;Ref;DUT
17.01.2021 17:50:07;25;25;24,67;24,4303761755486
17.01.2021 17:50:11;25;25;24,69;24,4303761755486
17.01.2021 17:50:15;25;25;24,69;24,4303761755486
17.01.2021 17:50:19;25;25;24,7;24,4933228840125
17.01.2021 17:50:23;25;25;24,73;24,4933228840125
17.01.2021 17:50:26;25;25;24,73;24,4933228840125
17.01.2021 17:50:30;25;25;24,74;24,4933228840125
17.01.2021 17:50:34;25;25;24,75;24,4933228840125
17.01.2021 17:50:38;25;25;24,76;24,4933228840125
17.01.2021 17:50:42;25;25;24,77;24,5562695924765
17.01.2021 17:50:46;25;25;24,78;24,5562695924765
17.01.2021 17:50:50;25;25;24,79;24,5562695924765
17.01.2021 17:50:53;25;25;24,8;24,5562695924765
17.01.2021 17:50:57;25;25;24,81;24,5562695924765
17.01.2021 17:51:01;25;25;24,81;24,5562695924765
17.01.2021 17:51:05;25;25;24,82;24,6192163009404
17.01.2021 17:51:09;25;25;24,83;24,6192163009404
17.01.2021 17:51:13;25;25;24,84;24,6192163009404
17.01.2021 17:51:17;25;25;24,84;24,6192163009404
17.01.2021 17:51:20;25;25;24,85;24,6192163009404
17.01.2021 17:51:24;25;25;24,86;24,6192163009404
17.01.2021 17:51:28;25;25;24,87;24,6192163009404
17.01.2021 17:51:32;25;25;24,87;24,6821630094044
17.01.2021 17:51:36;25;25;24,88;24,6821630094044
17.01.2021 17:51:40;25;25;24,89;24,6821630094044
17.01.2021 17:51:43;25;25;24,89;24,6821630094044
17.01.2021 17:51:47;25;25;24,9;24,6821630094044
17.01.2021 17:51:51;25;25;24,9;24,6821630094044
17.01.2021 17:51:55;25;25;24,91;24,6821630094044
17.01.2021 17:51:59;25;25;24,92;24,7451097178683
17.01.2021 17:52:03;25;25;24,92;24,6821630094044
17.01.2021 17:52:07;25;25;24,93;24,7451097178683
17.01.2021 17:52:10;25;25;24,93;24,7451097178683
17.01.2021 17:52:14;25;25;24,94;24,7451097178683
17.01.2021 17:52:18;25;25;24,94;24,7451097178683
17.01.2021 17:52:22;25;25;24,95;24,7451097178683
17.01.2021 17:52:26;25;25;24,96;24,7451097178683
17.01.2021 17:52:30;25;25;24,96;24,7451097178683
17.01.2021 17:52:33;25;25;24,96;24,7451097178683
17.01.2021 17:52:37;25;25;24,97;24,8080564263323
17.01.2021 17:52:41;25;25;24,97;24,8080564263323
17.01.2021 17:52:45;25;25;24,97;24,8080564263323
17.01.2021 17:52:49;25;25;24,97;24,8080564263323
17.01.2021 17:52:53;25;25;24,98;24,8080564263323
17.01.2021 17:52:57;25;25;24,98;24,8080564263323
17.01.2021 17:53:00;25;25;24,99;24,8080564263323
17.01.2021 17:53:04;25;25;24,99;24,8080564263323
17.01.2021 17:53:08;25;25;24,99;24,8080564263323
17.01.2021 17:53:12;25;25;25;24,8080564263323
17.01.2021 17:53:16;25;25;25;24,8710031347962
17.01.2021 17:53:20;25;25;25,01;24,8710031347962
17.01.2021 17:53:24;25;25;25,01;24,8710031347962
17.01.2021 17:53:27;25;25;25,01;24,8710031347962
17.01.2021 17:53:31;25;25;25,02;24,8710031347962
17.01.2021 17:53:35;25;25;25,02;24,8710031347962
17.01.2021 17:53:39;25;25;25,02;24,8710031347962
17.01.2021 17:53:43;25;25;25,03;24,8710031347962
17.01.2021 17:53:47;25;25;25,03;24,8710031347962
17.01.2021 17:53:50;25;25;25,03;24,8710031347962
17.01.2021 17:53:54;25;25;25,04;24,8710031347962
17.01.2021 17:53:58;25;25;25,04;24,8710031347962
17.01.2021 17:54:02;25;25;25,04;24,8710031347962
17.01.2021 17:54:06;25;25;25,05;24,9339498432602
17.01.2021 17:54:10;25;25;25,05;24,9339498432602
17.01.2021 17:54:14;25;25;25,05;24,9339498432602
17.01.2021 17:54:17;25;25;25,05;24,9339498432602
17.01.2021 17:54:21;25;25;25,06;24,9339498432602
17.01.2021 17:54:25;25;24,999;25,06;24,9339498432602
17.01.2021 17:54:29;25;25;25,06;24,9339498432602
17.01.2021 17:54:33;25;25;25,07;24,9339498432602
17.01.2021 17:54:37;25;24,999;25,07;24,9339498432602
17.01.2021 17:54:40;25;25;25,07;24,9339498432602
17.01.2021 17:54:44;25;25;25,07;24,9339498432602
17.01.2021 17:54:48;25;25;25,08;24,9339498432602
17.01.2021 17:54:52;25;25;25,08;24,9339498432602
17.01.2021 17:54:56;25;25;25,08;24,9339498432602
17.01.2021 17:55:00;25;25;25,08;24,9339498432602
17.01.2021 17:55:04;25;25;25,09;24,9968965517241
17.01.2021 17:55:07;25;25;25,09;24,9339498432602
17.01.2021 17:55:11;25;25;25,09;24,9968965517241
17.01.2021 17:55:15;25;25;25,09;24,9968965517241
17.01.2021 17:55:19;25;25;25,11;24,9968965517241
17.01.2021 17:55:23;25;25;25,11;24,9968965517241
17.01.2021 17:55:27;25;25;25,11;24,9968965517241
17.01.2021 17:55:31;25;25;25,11;24,9968965517241
17.01.2021 17:55:34;25;25;25,11;24,9968965517241
17.01.2021 17:55:38;25;25;25,12;24,9968965517241
17.01.2021 17:55:42;25;25;25,12;24,9968965517241
17.01.2021 17:55:46;25;25;25,12;24,9968965517241
17.01.2021 17:55:50;25;25;25,12;24,9968965517241
17.01.2021 17:55:54;25;25;25,12;24,9968965517241
17.01.2021 17:55:57;25;25;25,12;24,9968965517241
17.01.2021 17:56:01;25;25;25,13;24,9968965517241
17.01.2021 17:56:05;25;25;25,13;24,9968965517241
17.01.2021 17:56:09;25;25;25,13;24,9968965517241
17.01.2021 17:56:13;25;25;25,13;24,9968965517241
17.01.2021 17:56:17;25;25;25,13;24,9968965517241
17.01.2021 17:56:21;25;25;25,13;24,9968965517241
17.01.2021 17:56:24;25;25;25,14;25,0598432601881
17.01.2021 17:56:28;25;25;25,14;25,0598432601881
17.01.2021 17:56:32;25;25;25,14;24,9968965517241
17.01.2021 17:56:36;25;25;25,14;24,9968965517241
17.01.2021 17:56:40;25;25;25,14;25,0598432601881
17.01.2021 17:56:44;25;25;25,14;25,0598432601881
17.01.2021 17:56:47;25;24,999;25,14;25,0598432601881
17.01.2021 17:56:51;25;25;25,15;25,0598432601881
17.01.2021 17:56:55;25;25;25,15;25,0598432601881
17.01.2021 17:56:59;25;25;25,15;25,0598432601881
17.01.2021 17:57:03;25;25;25,15;25,0598432601881
17.01.2021 17:57:07;25;25;25,15;25,0598432601881
17.01.2021 17:57:11;25;25;25,15;25,0598432601881
17.01.2021 17:57:14;25;25;25,15;25,0598432601881
17.01.2021 17:57:18;25;25;25,15;25,0598432601881
17.01.2021 17:57:22;25;25;25,16;25,0598432601881
17.01.2021 17:57:26;25;25;25,16;25,0598432601881
17.01.2021 17:57:30;25;25;25,16;25,0598432601881
17.01.2021 17:57:34;25;25;25,16;25,0598432601881
17.01.2021 17:57:38;25;25;25,16;25,0598432601881
17.01.2021 17:57:41;25;25;25,16;25,0598432601881
17.01.2021 17:57:45;25;25;25,16;25,0598432601881
17.01.2021 17:57:49;25;25;25,16;25,0598432601881
17.01.2021 17:57:53;25;25;25,16;25,0598432601881
17.01.2021 17:57:57;25;25;25,16;25,0598432601881
17.01.2021 17:58:01;25;25;25,16;25,0598432601881
17.01.2021 17:58:04;25;25;25,17;25,0598432601881
17.01.2021 17:58:08;25;25;25,17;25,0598432601881
17.01.2021 17:58:12;25;25;25,17;25,0598432601881
17.01.2021 17:58:16;25;25;25,17;25,0598432601881
17.01.2021 17:58:20;25;25;25,17;25,0598432601881
17.01.2021 17:58:24;25;25;25,17;25,0598432601881
17.01.2021 17:58:28;25;25;25,17;25,0598432601881
17.01.2021 17:58:31;25;25;25,17;25,0598432601881
17.01.2021 17:58:35;25;25;25,17;25,0598432601881
17.01.2021 17:58:39;25;25;25,17;25,0598432601881
17.01.2021 17:58:43;25;24,999;25,17;25,0598432601881
17.01.2021 17:58:47;25;25;25,17;25,0598432601881
17.01.2021 17:58:51;25;25;25,18;25,0598432601881
17.01.2021 17:58:55;25;25;25,18;25,122789968652
17.01.2021 17:58:58;25;25;25,18;25,122789968652
17.01.2021 17:59:02;25;25;25,18;25,122789968652
17.01.2021 17:59:06;25;25;25,18;25,122789968652
17.01.2021 17:59:10;25;25;25,18;25,122789968652
17.01.2021 17:59:14;25;25;25,18;25,122789968652
17.01.2021 17:59:18;25;25;25,18;25,0598432601881
17.01.2021 17:59:22;25;25;25,18;25,122789968652
17.01.2021 17:59:25;25;25;25,18;25,122789968652
17.01.2021 17:59:29;25;25;25,18;25,122789968652
17.01.2021 17:59:33;25;24,999;25,18;25,122789968652
17.01.2021 17:59:37;25;25;25,18;25,122789968652
17.01.2021 17:59:41;25;25;25,18;25,122789968652
