SetPoint;Chamber;Ref;DUT
16.01.2021 19:30:48;NaN;15;15,12;14,8125
16.01.2021 19:30:52;NaN;15;15,12;14,8125
16.01.2021 19:30:56;NaN;15,006;15,12;14,8125
16.01.2021 19:31:00;NaN;15,018;15,12;14,8125
16.01.2021 19:31:03;NaN;15,033;15,12;14,8125
16.01.2021 19:31:07;NaN;15,053;15,13;14,8125
16.01.2021 19:31:11;NaN;15,077;15,13;14,8125
16.01.2021 19:31:15;NaN;15,1;15,14;14,8125
16.01.2021 19:31:19;NaN;15,129;15,15;14,8125
16.01.2021 19:31:23;NaN;15,159;15,15;14,875
16.01.2021 19:31:26;NaN;15,191;15,16;14,8125
16.01.2021 19:31:30;NaN;15,219;15,17;14,875
16.01.2021 19:31:34;NaN;15,253;15,18;14,875
16.01.2021 19:31:38;NaN;15,287;15,19;14,875
16.01.2021 19:31:42;NaN;15,317;15,2;14,875
16.01.2021 19:31:46;NaN;15,352;15,21;14,875
16.01.2021 19:31:50;NaN;15,387;15,22;14,9375
16.01.2021 19:31:53;NaN;15,419;15,23;14,9375
16.01.2021 19:31:57;NaN;15,454;15,24;14,9375
16.01.2021 19:32:01;NaN;15,49;15,26;14,9375
16.01.2021 19:32:05;NaN;15,522;15,27;14,9375
16.01.2021 19:32:09;NaN;15,558;15,28;14,9375
16.01.2021 19:32:13;NaN;15,594;15,3;15
16.01.2021 19:32:16;NaN;15,625;15,32;15
16.01.2021 19:32:20;NaN;15,661;15,33;15
16.01.2021 19:32:24;NaN;15,697;15,35;15
16.01.2021 19:32:28;NaN;15,728;15,36;15,0625
16.01.2021 19:32:32;0;15,764;15,38;15,0625
16.01.2021 19:32:36;0;15,791;15,39;15,0625
16.01.2021 19:32:39;0;15,779;15,4;15,0625
16.01.2021 19:32:43;0;15,572;15,4;15,0625
16.01.2021 19:32:47;0;15,242;15,38;15,0625
16.01.2021 19:32:51;0;14,933;15,33;15,0625
16.01.2021 19:32:55;0;14,448;15,24;15
16.01.2021 19:32:59;0;13,935;15,16;15
16.01.2021 19:33:02;0;13,416;15,03;14,875
16.01.2021 19:33:06;0;12,88;14,91;14,8125
16.01.2021 19:33:10;0;12,337;14,77;14,6875
16.01.2021 19:33:14;0;11,92;14,64;14,5625
16.01.2021 19:33:18;0;11,369;14,49;14,4375
16.01.2021 19:33:22;0;10,82;14,33;14,3125
16.01.2021 19:33:25;0;10,281;14,19;14,1875
16.01.2021 19:33:29;0;9,729;14,01;14,0625
16.01.2021 19:33:33;0;9,18;13,81;13,875
16.01.2021 19:33:37;0;8,76;13,67;13,6875
16.01.2021 19:33:41;0;8,213;13,47;13,5625
16.01.2021 19:33:45;0;7,667;13,26;13,375
16.01.2021 19:33:48;0;7,13;13,09;13,1875
16.01.2021 19:33:52;0;6,601;12,88;12,9375
16.01.2021 19:33:56;0;6,063;12,64;12,75
16.01.2021 19:34:00;0;5,652;12,43;12,5625
16.01.2021 19:34:04;0;5,119;12,24;12,3125
16.01.2021 19:34:08;0;4,6;11,99;12,125
16.01.2021 19:34:11;0;4,164;11,75;11,875
16.01.2021 19:34:15;0;3,854;11,55;11,625
16.01.2021 19:34:19;0;3,642;11,34;11,4375
16.01.2021 19:34:23;0;3,522;11,13;11,25
16.01.2021 19:34:27;0;3,427;11,01;11,0625
16.01.2021 19:34:31;0;3,444;10,84;10,8125
16.01.2021 19:34:34;0;3,563;10,7;10,6875
16.01.2021 19:34:38;0;3,61;10,58;10,5
16.01.2021 19:34:42;0;3,627;10,5;10,375
16.01.2021 19:34:46;0;3,593;10,35;10,25
16.01.2021 19:34:50;0;3,399;10,19;10,0625
16.01.2021 19:34:54;0;3,204;10,07;9,9375
16.01.2021 19:34:58;0;2,997;9,88999999999999;9,8125
16.01.2021 19:35:01;0;2,785;9,69999999999999;9,625
16.01.2021 19:35:05;0;2,414;9,49000000000001;9,4375
16.01.2021 19:35:09;0;2,193;9,33999999999997;9,3125
16.01.2021 19:35:13;0;1,992;9,13999999999999;9,125
16.01.2021 19:35:17;0;1,95;8,95999999999998;8,9375
16.01.2021 19:35:21;0;1,763;8,81999999999999;8,8125
16.01.2021 19:35:25;0;1,64;8,64999999999998;8,625
16.01.2021 19:35:28;0;1,431;8,48000000000002;8,5
16.01.2021 19:35:32;0;1,225;8,29000000000002;8,3125
16.01.2021 19:35:36;0;1,103;8,14999999999998;8,1875
16.01.2021 19:35:40;0;0,905;7,98000000000002;8
16.01.2021 19:35:44;0;0,789;7,79000000000002;7,875
16.01.2021 19:35:48;0;0,585;7,64999999999998;7,6875
16.01.2021 19:35:52;0;0,476;7,49000000000001;7,5625
16.01.2021 19:35:55;0;0,367;7,30000000000001;7,375
