Spec:;
FinishDate:;16.01.2021 14:12:14

;SetPoint;Timestamp;ReferenceValue;DUT value
SET;0,0000;;-0,1154;-0,1250
IPP;;16.01.2021 12:44:33;-0,1200;-0,1250
IPP;;16.01.2021 12:44:37;-0,1200;-0,1250
IPP;;16.01.2021 12:44:37;-0,1200;-0,1250
IPP;;16.01.2021 12:44:41;-0,1200;-0,1250
IPP;;16.01.2021 12:44:41;-0,1200;-0,1250
IPP;;16.01.2021 12:44:44;-0,1200;-0,1250
IPP;;16.01.2021 12:44:44;-0,1200;-0,1250
IPP;;16.01.2021 12:44:48;-0,1100;-0,1250
IPP;;16.01.2021 12:44:48;-0,1100;-0,1250
IPP;;16.01.2021 12:44:52;-0,1100;-0,1250
IPP;;16.01.2021 12:44:52;-0,1100;-0,1250
IPP;;16.01.2021 12:44:56;-0,1100;-0,1250
IPP;;16.01.2021 12:44:56;-0,1100;-0,1250
SET;35,0000;;35,2800;34,7260
IPP;;16.01.2021 13:15:58;35,2800;34,7500
IPP;;16.01.2021 13:15:58;35,2800;34,6875
IPP;;16.01.2021 13:16:02;35,2800;34,6875
IPP;;16.01.2021 13:16:02;35,2800;34,7500
IPP;;16.01.2021 13:16:06;35,2800;34,7500
IPP;;16.01.2021 13:16:06;35,2800;34,6875
IPP;;16.01.2021 13:16:10;35,2800;34,6875
IPP;;16.01.2021 13:16:10;35,2800;34,7500
IPP;;16.01.2021 13:16:14;35,2800;34,7500
IPP;;16.01.2021 13:16:14;35,2800;34,6875
IPP;;16.01.2021 13:16:18;35,2800;34,7500
IPP;;16.01.2021 13:16:18;35,2800;34,7500
IPP;;16.01.2021 13:16:21;35,2800;34,7500
SET;70,0000;;70,1200;69,6875
IPP;;16.01.2021 13:43:39;70,1200;69,6875
IPP;;16.01.2021 13:43:43;70,1200;69,6875
IPP;;16.01.2021 13:43:43;70,1200;69,6875
IPP;;16.01.2021 13:43:47;70,1200;69,6875
IPP;;16.01.2021 13:43:47;70,1200;69,6875
IPP;;16.01.2021 13:43:51;70,1200;69,6875
IPP;;16.01.2021 13:43:51;70,1200;69,6875
IPP;;16.01.2021 13:43:55;70,1200;69,6875
IPP;;16.01.2021 13:43:55;70,1200;69,6875
IPP;;16.01.2021 13:43:58;70,1200;69,6875
IPP;;16.01.2021 13:43:58;70,1200;69,6875
IPP;;16.01.2021 13:44:02;70,1200;69,6875
IPP;;16.01.2021 13:44:02;70,1200;69,6875
SET;105,0000;;105,2500;104,6587
IPP;;16.01.2021 14:11:48;105,2500;104,6875
IPP;;16.01.2021 14:11:48;105,2500;104,6875
IPP;;16.01.2021 14:11:52;105,2500;104,6875
IPP;;16.01.2021 14:11:52;105,2500;104,6250
IPP;;16.01.2021 14:11:56;105,2500;104,6250
IPP;;16.01.2021 14:11:56;105,2500;104,6250
IPP;;16.01.2021 14:12:00;105,2500;104,6250
IPP;;16.01.2021 14:12:00;105,2500;104,6875
IPP;;16.01.2021 14:12:03;105,2500;104,6875
IPP;;16.01.2021 14:12:03;105,2500;104,6250
IPP;;16.01.2021 14:12:07;105,2500;104,6250
IPP;;16.01.2021 14:12:07;105,2500;104,6875
IPP;;16.01.2021 14:12:11;105,2500;104,6875
