SetPoint;Chamber;Ref;DUT
16.01.2021 12:17:07;NaN;19,478;19,54;19,75
16.01.2021 12:17:11;NaN;19,48;19,54;19,75
16.01.2021 12:17:15;NaN;19,483;19,54;19,6875
16.01.2021 12:17:18;NaN;19,485;19,54;19,625
16.01.2021 12:17:22;NaN;19,487;19,54;19,5625
16.01.2021 12:17:26;0;19,49;19,55;19,5
16.01.2021 12:17:30;0;19,484;19,55;19,4375
16.01.2021 12:17:34;0;19,368;19,55;19,375
16.01.2021 12:17:38;0;19,181;19,54;19,375
16.01.2021 12:17:41;0;18,859;19,52;19,3125
16.01.2021 12:17:45;0;18,429;19,44;19,3125
16.01.2021 12:17:49;0;17,907;19,33;19,25
16.01.2021 12:17:53;0;17,361;19,21;19,125
16.01.2021 12:17:57;0;16,937;19,05;19,0625
16.01.2021 12:18:01;0;16,371;18,88;18,9375
16.01.2021 12:18:04;0;15,797;18,7;18,8125
16.01.2021 12:18:08;0;15,218;18,56;18,6875
16.01.2021 12:18:12;0;14,783;18,36;18,5625
16.01.2021 12:18:16;0;14,141;18,16;18,375
16.01.2021 12:18:20;0;13,558;17,99;18,25
16.01.2021 12:18:24;0;12,985;17,77;18,0625
16.01.2021 12:18:28;0;12,403;17,54;17,875
16.01.2021 12:18:31;0;11,823;17,31;17,625
16.01.2021 12:18:35;0;11,384;17,12;17,4375
16.01.2021 12:18:39;0;10,806;16,87;17,25
16.01.2021 12:18:43;0;10,169;16,62;17,0625
16.01.2021 12:18:47;0;9,734;16,41;16,8125
16.01.2021 12:18:51;0;9,165;16,13;16,5625
16.01.2021 12:18:54;0;8,6;15,86;16,3125
16.01.2021 12:18:58;0;8,043;15,64;16,0625
16.01.2021 12:19:02;0;7,484;15,36;15,8125
16.01.2021 12:19:06;0;6,926;15,06;15,5625
16.01.2021 12:19:10;0;6,448;14,76;15,3125
16.01.2021 12:19:14;0;5,902;14,51;15,0625
16.01.2021 12:19:17;0;5,357;14,2;14,8125
16.01.2021 12:19:21;0;4,816;13,9;14,5
16.01.2021 12:19:25;0;4,446;13,65;14,25
16.01.2021 12:19:29;0;4,046;13,33;13,9375
16.01.2021 12:19:33;0;3,743;13,04;13,6875
16.01.2021 12:19:37;0;3,615;12,77;13,4375
16.01.2021 12:19:41;0;3,504;12,57;13,125
16.01.2021 12:19:44;0;3,48;12,37;12,9375
16.01.2021 12:19:48;0;3,59;12,16;12,6875
16.01.2021 12:19:52;0;3,695;12,04;12,5
16.01.2021 12:19:56;0;3,712;11,87;12,3125
16.01.2021 12:20:00;0;3,697;11,7;12,125
16.01.2021 12:20:04;0;3,586;11,49;11,9375
16.01.2021 12:20:08;0;3,392;11,35;11,75
16.01.2021 12:20:11;0;3,108;11,13;11,5625
16.01.2021 12:20:15;0;2,89;10,9;11,375
16.01.2021 12:20:19;0;2,549;10,7;11,1875
16.01.2021 12:20:23;0;2,3;10,47;11
16.01.2021 12:20:27;0;2,105;10,2;10,75
16.01.2021 12:20:31;0;1,909;10,01;10,5625
16.01.2021 12:20:34;0;1,88;9,80000000000001;10,375
16.01.2021 12:20:38;0;1,77;9,58999999999997;10,1875
16.01.2021 12:20:42;0;1,572;9,44;10
16.01.2021 12:20:46;0;1,444;9,23000000000002;9,8125
16.01.2021 12:20:50;0;1,239;9,00999999999999;9,625
16.01.2021 12:20:54;0;1,111;8,80000000000001;9,4375
16.01.2021 12:20:57;0;0,915;8,63999999999999;9,25
16.01.2021 12:21:01;0;0,716;8,42000000000002;9,0625
16.01.2021 12:21:05;0;0,6;8,22000000000003;8,875
16.01.2021 12:21:09;0;0,486;8;8,6875
16.01.2021 12:21:13;0;0,373;7,86000000000001;8,5
16.01.2021 12:21:17;0;0,257;7,64999999999998;8,3125
16.01.2021 12:21:21;0;0,223;7,48000000000002;8,1875
16.01.2021 12:21:24;0;0,172;7,35000000000002;8
16.01.2021 12:21:28;0;0,124;7,14999999999998;7,8125
16.01.2021 12:21:32;0;0,089;6,99000000000001;7,6875
16.01.2021 12:21:36;0;0,06;6,82999999999998;7,5
16.01.2021 12:21:40;0;0,04;6,70999999999998;7,375
16.01.2021 12:21:44;0;0,03;6,54000000000002;7,1875
16.01.2021 12:21:48;0;0,026;6,41000000000003;7,0625
16.01.2021 12:21:51;0;0,025;6,30000000000001;6,9375
16.01.2021 12:21:55;0;0,027;6,14999999999998;6,8125
16.01.2021 12:21:59;0;0,031;6,01999999999998;6,6875
16.01.2021 12:22:03;0;0,035;5,88999999999999;6,5625
16.01.2021 12:22:07;0;0,038;5,79000000000002;6,4375
16.01.2021 12:22:11;0;0,04;5,64999999999998;6,3125
16.01.2021 12:22:14;0;0,04;5,52999999999997;6,1875
16.01.2021 12:22:18;0;0,04;5,44;6,0625
16.01.2021 12:22:22;0;0,038;5,30000000000001;5,9375
16.01.2021 12:22:26;0;0,034;5,19;5,875
16.01.2021 12:22:30;0;0,03;5,06999999999999;5,75
16.01.2021 12:22:34;0;0,027;4,99000000000001;5,625
16.01.2021 12:22:38;0;0,022;4,87;5,5625
16.01.2021 12:22:41;0;0,018;4,75999999999999;5,4375
16.01.2021 12:22:45;0;0,015;4,67000000000002;5,375
16.01.2021 12:22:49;0;0,011;4,56;5,25
16.01.2021 12:22:53;0;0,009;4,47000000000003;5,1875
16.01.2021 12:22:57;0;0,007;4,37;5,0625
16.01.2021 12:23:01;0;0,006;4,29000000000002;4,9375
16.01.2021 12:23:05;0;0,005;4,19;4,875
16.01.2021 12:23:08;0;0,004;4,08999999999997;4,75
16.01.2021 12:23:12;0;0,004;4;4,6875
16.01.2021 12:23:16;0;0,004;3,94;4,625
16.01.2021 12:23:20;0;0,004;3,85000000000002;4,5
16.01.2021 12:23:24;0;0,004;3,75;4,4375
16.01.2021 12:23:28;0;0,004;3,69;4,375
16.01.2021 12:23:31;0;0,004;3,61000000000001;4,25
16.01.2021 12:23:35;0;0,009;3,52999999999997;4,1875
16.01.2021 12:23:39;0;0,011;3,44999999999999;4,125
16.01.2021 12:23:43;0;0,01;3,38;4,0625
16.01.2021 12:23:47;0;0,007;3,30000000000001;4
16.01.2021 12:23:51;0;0,004;3,23000000000002;3,875
16.01.2021 12:23:55;0;0,001;3,17000000000002;3,8125
16.01.2021 12:23:58;0;-0,002;3,10000000000002;3,75
16.01.2021 12:24:02;0;-0,003;3,01999999999998;3,6875
16.01.2021 12:24:06;0;-0,004;2,95999999999998;3,625
16.01.2021 12:24:10;0;-0,004;2,91000000000003;3,5625
16.01.2021 12:24:14;0;-0,004;2,85000000000002;3,5
16.01.2021 12:24:18;0;-0,003;2,76999999999998;3,4375
16.01.2021 12:24:22;0;-0,003;2,70999999999998;3,375
16.01.2021 12:24:25;0;-0,002;2,64999999999998;3,3125
16.01.2021 12:24:29;0;-0,002;2,58999999999997;3,25
16.01.2021 12:24:33;0;-0,001;2,52999999999997;3,1875
16.01.2021 12:24:37;0;0;2,5;3,125
16.01.2021 12:24:41;0;0;2,44999999999999;3,0625
16.01.2021 12:24:45;0;0;2,38999999999999;3
16.01.2021 12:24:48;0;0;2,33999999999997;2,9375
16.01.2021 12:24:52;0;0;2,29000000000002;2,875
16.01.2021 12:24:56;0;0;2,24000000000001;2,8125
16.01.2021 12:25:00;0;0;2,18000000000001;2,8125
16.01.2021 12:25:04;0;0;2,13999999999999;2,75
