SetPoint [°C],Timestamp,Reference temperature [°C],DUT temperature [°C],Delta (error) [K]
20,04.02.2021 14:07:26,20.35,19.9196428571429,-0.430357142857165
40,04.02.2021 14:45:34,39.82,39.2232142857143,-0.596785714285708
